authors|year|title|venue|download-link|image|award|slug
Fu, Y., Chen, Y., Gomes, Z., and Hiniker, A.|2025|Should ChatGPT Write Your Breakup Text? Exploring the Role of AI in Relationship Dissolution|Proceedings of the ACM on Human-Computer Interaction (CSCW 2025, to appear)||wix:image://v1/a0f093_eab6690f145842b3a2881e6dac205038~mv2.png/breakup.png#originWidth=692&originHeight=700||***
Kim, J., Cho, S., Wolfe, R., Nair, J., and Hiniker, A.|2025|Privacy as Social Norm: Systematically Empowering Teen Privacy Management on Social Media|Proceedings of the ACM on Human-Computer Interaction (CSCW 2025, to appear)|https://faculty.washington.edu/alexisr/privacyAsSocialNorm.pdf|wix:image://v1/a0f093_6cb599ec4f404817ab342b77d7b20bdf~mv2.png/privacyDesigns.png#originWidth=245&originHeight=219||privacyAsSocialNorm
Wolfe, R., Dangol, A., Kim, J., and Hiniker, A.|2025|Toward Nonviolent Design: Co-Designing a Human-Centered Framework for AI-Mediated Communication|Proceedings of the 2025 AAAI/ACM Conference on AI, Ethics, and Society (AIES ’25, to appear)||wix:image://v1/a0f093_1b82a03647b54d87b5e4cbcd2af272a5~mv2.png/nvc.png#originWidth=653&originHeight=305||***
Tran, S., Lu, H., Slaughter, I., Herman, B., Dangol, A., Fu, Y., Chen, L., Gebreyohannes, B., Howe, B., Hiniker, A., Weber, N., and Wolfe, R.|2025|Understanding Privacy Norms Around LLM-Based Chatbots: A Contextual Integrity Perspective|Proceedings of the 2025 AAAI/ACM Conference on AI, Ethics, and Society (AIES ’25, to appear)||wix:image://v1/a0f093_788d674d0a124ff48d42dce484b49a71~mv2.png/CI.png#originWidth=600&originHeight=393||***
Radesky, J. and Hiniker, A.|2025|Problematic media use as a content-neutral, enforceable harm|The Journal of Online Trust and Safety (in press)||wix:image://v1/11062b_a90fbb07c8eb4977a29d31849c50d53a~mv2.jpg/Catching%20Up.jpg#originWidth=5000&originHeight=3628||***
Kim, J., Wolfe, R., Subramanian, R., Lee, M, Colnago, J., and A. Hiniker.|2025|Trust-Enabled Privacy: Social Media Designs to Support Adolescent User Boundary Regulation|Proceedings of the 21st Symposium on Usable Privacy and Security (SOUPS ’25)||wix:image://v1/a0f093_e746dc92421c4ad28a2484a730874192~mv2.png/trust.png#originWidth=1244&originHeight=787||***
Guo, L., Fu, Y., Lin, X., Xu, X., Chang, Y., and Hiniker, A.|2025|Using Screenshot Data to Examine the Phone Use People Regret|Proceedings of the 43rd annual ACM Conference on Human Factors in Computing Systems (CHI ’25, to appear). Acceptance rate: 25%|https://faculty.washington.edu/alexisr/regret.pdf|wix:image://v1/a0f093_01c560a90c85491a92518c0dcbbfa3e5~mv2.png/regret.png#originWidth=567&originHeight=724||regret
Chordia, I., Wolfe, R., Yip, J., and Hiniker, A.|2025|Building the Beloved Community: Designing Technologies for Neighborhood Safety|Proceedings of the 43rd annual ACM Conference on Human Factors in Computing Systems (CHI ’25, to appear). Acceptance rate: 25%||wix:image://v1/a0f093_cc193bd6b9744b7f89f8e6078dd2837b~mv2.png/neighborhoodSafety.png#originWidth=581&originHeight=246|Best paper honorable mention (top 5%)|***
Fu, Y., Schwamm, S., Baughan, A., Powell, N. Kronberg, Z., Owens, A., Izenman, E., Alsabeh, D., Hunt, E., Rich, M., Bickham, D., Radesky, J., and Hiniker, A. "Moving Toward the Metaverse: Children’s Avatar Making in Online Social Games." Proceedings of the 43rd annual ACM Conference on Human Factors in Computing Systems (CHI |25, | appear)|Acceptance rate: 25%|https://faculty.washington.edu/alexisr/avatars.pdf|wix:image://v1/a0f093_603cee4cc19e479aabe56427c6cceedc~mv2.png/avatars.png#originWidth=750&originHeight=475||avatars
Davis, K., Landesman, R., Yoon, J., Kim, J., Lopez, D., Magis-Weinberg, L., and Hiniker, A.|2025|‘You Go Through So Many Emotions Scrolling Through Instagram’: How Teens Use Instagram to Regulate Their Emotions|Proceedings of the 43rd annual ACM Conference on Human Factors in Computing Systems (CHI ’25, to appear). Acceptance rate: 25%|https://faculty.washington.edu/alexisr/instagramEmotions.pdf|wix:image://v1/a0f093_5166c02bc982402fb62cf291aa85c3de~mv2.png/emotions.png#originWidth=769&originHeight=503||instagramEmotions
Dunbar, J.C., Bascom, E., Boone, A., and Hiniker, A.,|2021|Is Someone Listening? Audio Related Privacy Perceptions and Design Recommendations from Guardians, Pragmatists, and Cynics|Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), 5(3), pp.1-23|http://faculty.washington.edu/alexisr/isSomeoneListening.pdf|wix:image://v1/a0f093_fd9192b0840e498682b2e01b30d17d56~mv2.png/KeyFigExample2.png#originWidth=676&originHeight=1206||isSomeoneListening
Radesky, J. and Hiniker, A.|2021|From Moral Panic to Systemic Change: Making Child-Centered Design the Default|International Journal of Child-Computer Interaction, Special Issue in Review Articles in Child-Computer Interaction Research (IJCCI), Vol. 31, 100351.|http://faculty.washington.edu/alexisr/PlatformsAndSystemicChange.pdf|wix:image://v1/a0f093_ca5db172f6274a5e8b9381ddd615ef51~mv2.png/jcci.png#originWidth=2547&originHeight=1504||PlatformsAndSystemicChange
Michelson, R., DeWitt, A., Nagar, R., Hiniker, A., Yip, J., Munson, S., and Kientz, J.|2021|Parenting in a Pandemic: Juggling Multiple Roles and Managing Technology Use in Family Life During COVID-19 in the United States|Proceedings of the ACM on Human-Computer Interaction, 5(CSCW2), pp.1-39||wix:image://v1/a0f093_e7afeb48de2c45c1b3a17be1117c58ac~mv2.png/covidFamilyDesign.png#originWidth=535&originHeight=431||***
Hiniker, A., Wang, A., Tran, J., Zhang, M., Radesky, J., Sobel, K., and Hong, S.|2021|Can Conversational Agents Change the Way Children Talk to People|Proceedings of the 20th annual ACM conference on interaction design and children (IDC ’21).|http://faculty.washington.edu/alexisr/CATransfer.pdf|wix:image://v1/a0f093_b4c0eafaffc84331b163c914efe2e2b8~mv2.png/avery.png#originWidth=221&originHeight=209||CATransfer
Simko, L., Chin, B., Na, S., Saluja, H., Zhu, T., Kohno, T., Hiniker, A., Yip, J., and Cobb, C.|2021|Would You Rather: A Focus Group Method for Eliciting and Discussing Formative Design Insights with Childre|Proceedings of the 20th annual ACM conference on interaction design and children (IDC ’21).|http://faculty.washington.edu/alexisr/WYR.pdf|wix:image://v1/a0f093_abf463a264264dbe978c1becc3f69deb~mv2.jpg/WYR.jpg#originWidth=2038&originHeight=1436||WYR
Baughan, A., Petelka, J., Yoo., Lo, J., Wang, S., Paramasivam, A., Zhou, A., and Hiniker, A.|2021|Someone is Wrong on the Internet: Having Hard Conversations in Online Spaces|Proceedings of the ACM on Human-Computer Interaction, 5(CSCW1), pp.1-22|http://faculty.washington.edu/alexisr/someoneIsWrong.pdf|wix:image://v1/a0f093_a2343466db2d4bdf8a00d1694ca75f55~mv2.png/storyboardExample.png#originWidth=872&originHeight=832||someoneIsWrong
Lukoff, K., Lyngs, U., Zade, H., Liao, J., Choi, J., Fan, K., Munson, S., and Hiniker, A.|2021|How the Design of YouTube Influences User Sense of Agency|Proceedings of the 39th annual ACM conference on human factors in computing systems (CHI ’21). Acceptance rate: 26%|http://faculty.washington.edu/alexisr/youtubeAgency.pdf|wix:image://v1/a0f093_d98d8ba341a440938936a1de40b5fb72~mv2.png/youtube.png#originWidth=1029&originHeight=684||youtubeAgency
Kawas, S., Kuhn, N., Sorstokke, K., Bascom, E., Hiniker, A. and Davis, K.|2021|When Screen Time Isn’t Screen Time: Tensions and Needs Among Tweens and Their Parents During Nature-Based Exploratio|Proceedings of the 39th annual ACM conference on human factors in computing systems (CHI ’21). Acceptance rate: 26%|http://faculty.washington.edu/alexisr/notScreenTime.pdf|wix:image://v1/a0f093_d40c2afb8c5e488ab25386901e80eb51~mv2.png/natureGO.png#originWidth=1037&originHeight=672||notScreenTime
Schadhaart, A., Hiniker, A. and Wobbrock, J.O.|2021|Understanding Blind Screen Reader Users' Experiences of Digital Artboards|Proceedings of the 39th annual ACM conference on human factors in computing systems (CHI ’21). Acceptance rate: 26%|http://faculty.washington.edu/alexisr/artboardUserStudy.pdf|wix:image://v1/a0f093_3ee0f25a88fb47b4a03adeb7f9521b5a~mv2.png/artboards.png#originWidth=276&originHeight=469||artboardUserStudy
Kim, M.K., Druga, S., Esmaeili, S., Woodward, J., Shaw, A., Jain, A., Langham, J., Hollingshead, K., Lovato, S.B., Beneteau, E. and Ruiz, J.,|2022|Examining voice assistants in the context of children’s speech|International Journal of Child-Computer Interaction (IJCCI), Vol. 34, 100540|http://faculty.washington.edu/alexisr/VAs.pdf|wix:image://v1/a0f093_c89698cb31e3462fa1a4fe8f4e68e2e5~mv2.jpg/vaGA.jpg#originWidth=1333&originHeight=857||VAs
Fu, Y., Michelson, R., Lin, Y., Nguyen, L., Tayebi, T., and Hiniker, A.|2022|Social Emotional Learning with Conversational Agents: Reviewing Current Designs and Probing Parents’ Ideas for Future Ones|Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT),  6(2), pp. 1-23|http://faculty.washington.edu/alexisr/sel.pdf|wix:image://v1/a0f093_5bb88c5355fd469b94d0a289c0dddc46~mv2.jpg/sel.jpg#originWidth=1136&originHeight=879||sel
Radesky, J., Hiniker, A., McLaren. C, Akgun E, Schaller A, Weeks HM, Campbell SW, Gearhardt AN,|2022|Prevalence and Characteristics of Manipulative Design in Mobile Applications Used by Children|JAMA Open, 5(6)|https://faculty.washington.edu/alexisr/childrenManipulativeDesign.pdf|wix:image://v1/a0f093_55efe0fab9f346e892a6eeb4ae8d720d~mv2.jpg/manipulativeDesign.jpg#originWidth=700&originHeight=400||childrenManipulativeDesign
Baughan, A., Cross, K., Khasanova, E., and Hiniker, A.|2022|Shame on Who? Experimentally Reducing Shame During Political Arguments on Twitter|Proceedings of the ACM on Human-Computer Interaction, 6(CSCW2), pp. 1-18|http://faculty.washington.edu/alexisr/shame.pdf|wix:image://v1/a0f093_f459934723854642916911f5c7b6b958~mv2.png/shame.png#originWidth=919&originHeight=708||shame
Hiniker, A., & Wobbrock, J. O. |2022| Reclaiming attention: Christianity and HCI|Interactions, 29(4), pp. 40-44|http://faculty.washington.edu/alexisr/reclaimingAttention.pdf|wix:image://v1/a0f093_d868e3ae23d4442f8c8e027685565c6a~mv2.gif/attention.gif#originWidth=480&originHeight=281||reclaimingAttention
Baughan, A., Zhang, M., Lukoff, K., Rao, R., Schaadhardt, A., and Hiniker, A.|2022|‘I Don’t Even Remember What I Read’: How Design Influences Dissociation on Social Media|Proceedings of the 40th annual ACM conference on human factors in computing systems (CHI ’22), pp. 1-13|http://faculty.washington.edu/alexisr/dissociation.pdf|wix:image://v1/a0f093_fc6f0b42d0844804bf020bc9809431a6~mv2.png/dissociation.png#originWidth=414&originHeight=392||dissociation
Zhang, M., Lukoff, K., Rao, R., Baughan, A., and Hiniker, A.|2022|Monitoring Screen Time or Redesigning It? Two Approaches to Supporting Intentional Social Media Use |Proceedings of the 40th annual ACM conference on human factors in computing systems (CHI ’22), pp. 1-19|http://faculty.washington.edu/alexisr/chirp.pdf|wix:image://v1/a0f093_280f26a272d942b19cc79255f3ee5284~mv2.png/chirp.png#originWidth=627&originHeight=382||chirp
Fu, Y., Zhang, M., Nguyen, L. K., Lin, Y., Michelson, R., Tayebi, T. J., & Hiniker, A.|2023|Self-Talk with Superhero Zip: Supporting Children’s Socioemotional Learning with Conversational Agents|In Proceedings of the 22nd Annual ACM Interaction Design and Children Conference (IDC '23)|https://faculty.washington.edu/alexisr/zip.pdf|wix:image://v1/a0f093_66c895111b2349b7af3fc06318a61973~mv2.png/superhero.png#originWidth=156&originHeight=144||zip
Landesman, R., Radesky, J., & Hiniker, A.|2023| "Let Kids Wonder, Question and Make Mistakes: How the Designers of Children’s Technology Think about Child Well-being| Proceedings of the 22nd Annual ACM Interaction Design and Children Conference (IDC '23)|https://faculty.washington.edu/alexisr/wellbeing.pdf|wix:image://v1/a0f093_5a765fef20a442e2823f806cfe85255c~mv2.png/wellbeingcontinuum.png#originWidth=254&originHeight=226||wellbeing
Chordia, I., Tran, L., Tayebi, T., Parrish, E., Erete, S., Yip, J, and Hiniker, A.|2023|Deceptive Design Patterns in Safety Technologies: A Case Study of the Citizen App|Proceedings of the 40th annual ACM conference on human factors in computing systems (CHI ’23)|https://faculty.washington.edu/alexisr/SafetyApps.pdf|wix:image://v1/a0f093_02a0828f9b1b4c27ab39179ac1029d4d~mv2.png/citizen.png#originWidth=217&originHeight=259|Best paper award (top 1%)|SafetyApps
Lukoff K., Lyngs U., Shirokova K., Rao R., Tian L., Zade H., Munson S., and Hiniker A.|2023|SwitchTube: A Proof-of-Concept System Introducing|daptable Commitment Interfaces" as a Tool for Digital Wellbeing." Proceedings of the 40th annual ACM conference on human factors in computing systems (CHI ’23)|https://faculty.washington.edu/alexisr/switchtube.pdf|wix:image://v1/a0f093_c999b5cd670c4b86b1a61e91f5c62dae~mv2.png/switchtube.png#originWidth=145&originHeight=363|Best paper honorable mention (top 5%)|switchtube
Kucirkova, N., & Hiniker, A. |2023| Parents’ ontological beliefs regarding the use of conversational agents at home: resisting the neoliberal discourse|Learning, Media and Technology, 1-16|https://faculty.washington.edu/alexisr/CAontologies.pdf|wix:image://v1/a0f093_9bb14aea678a48599ebd02a853129745~mv2.jpg/ontologyModel.jpg#originWidth=1250&originHeight=683||CAontologies
Lukoff, K., Lyngs, U., Gueorguieva, S., Dilman, E., Hiniker, A., Munson, S.|2020|From Ancient Contemplative Practice to the App Store: Designing a Digital Container for Mindfulness|Proceedings of the ACM conference on Designing Interactive Systems (DIS '20) pp. 1551-1564. Acceptance rate: 24%|http://faculty.washington.edu/alexisr/mindfulness.pdf|wix:image://v1/b5ba72c4a1414366a5461be3619dacd8.jpg/Gyan%20Mudra.jpg#originWidth=5000&originHeight=3333||mindfulness
Kawas, S., Kuhn, N., Tari, M., Hiniker, A., Davis, K.|2020|‘Otter this World’: Can a Mobile Application Promote Children’s Connectedness to Nature|Proceedings of the 19th annual ACM conference on interaction design and children (IDC '20), pp. 444-457. Acceptance rate: 31%.|http://faculty.washington.edu/alexisr/otterThisWorld.pdf|wix:image://v1/a0f093_e223db179e9440be8f63984b319fc537~mv2.png/otter.png#originWidth=449&originHeight=360||otterThisWorld
Cobb, C., Simko, L., Kohno, T., Hiniker, A.|2020|User Experiences with Online Status Indicators|Proceedings of the 38th annual ACM conference on human factors in computing systems (CHI ’20), pp. 1-12. Acceptance rate: 24%|http://faculty.washington.edu/alexisr/osiUserStudy.pdf|wix:image://v1/a0f093_d4b745fc09f7416b80137684dcc7d5cb~mv2.jpg/osis.jpg#originWidth=375&originHeight=481||osiUserStudy
Beneteau, E., Boone, A., Wu, X., Kientz, J.A., Yip, J., Hiniker, A.|2020|Parenting with Alexa: Exploring the Introduction of Smart Speakers on Family Dynamics|Proceedings of the 38th annual ACM conference on human factors in computing systems (CHI ’20), pp. 1-13. Acceptance rate: 24%|http://faculty.washington.edu/alexisr/echoParenting.pdf|wix:image://v1/a0f093_c7bfe412760a4aeab3d354dd4e32a423~mv2.jpg/echodot.jpg#originWidth=1024&originHeight=768||echoParenting
Cobb, C., Simko, L., Kohno, T., Hiniker, A.|2020|A Privacy-Focused Systematic Analysis of Online Status Indicators|Proceedings on 20th annual Privacy Enhancing Technologies Symposium (PoPETS), 2020.3: 384-403.|http://faculty.washington.edu/alexisr/privacyAndOSIs.pdf|wix:image://v1/a0f093_59408a1123fe452382ccc8dae40d7be0~mv2.jpeg/design_rec.jpeg#originWidth=2562&originHeight=1390||privacyAndOSIs
Beneteau, E., Guan, Y., Richards, O., Zhang, M., Kientz, J.A., Yip, J., Hiniker, A.,|2020|Assumptions Checked: How Families Learn About and Use the Echo Dot|Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT, formerly the UbiComp conference), 4(1), pp. 1-23|http://faculty.washington.edu/alexisr/echoAdoption.pdf|wix:image://v1/a0f093_20270727365e47818918bae2411ee710~mv2.png/echoDotUsage.png#originWidth=565&originHeight=453||echoAdoption
Chordia, I., Yip, J.C., Hiniker, A.|2019|Intentional Technology Use|Proceedings of the ACM on Human-Computer Interaction, CSCW (formerly the CSCW conference) 3:78, pp 1-22|http://faculty.washington.edu/alexisr/preschoolObservations.pdf|wix:image://v1/5ebe18ba04404df89de3ae26b737108c.jpg/Kids%20in%20Preschool.jpg#originWidth=6048&originHeight=4032||preschoolObservations
Sobel, K., Yen, K., Cheng, Y., Chen, Y., Hiniker, A.|2019|No Touch Pig! Investigating Child-Parent Use of a System for Training Executive Function|Proceedings of the 18th annual ACM conference on interaction design and children (IDC ’19), pp. 339-351. Acceptance rate: 31%|http://faculty.washington.edu/alexisr/noTouchPig.pdf|wix:image://v1/a0f093_f728d44e649246fea6ac7ecde51706bb~mv2.jpg/cmcScreenshot.jpg#originWidth=460&originHeight=299||noTouchPig
Hiniker, A., Froehlich, J., Zhang, M., Beneteau, E.,|2019|Anchored Audio Sampling: A Seamless Method for Exploring Children’s Thoughts and Reactions During Deployment Studies|Proceedings of the 37th annual ACM conference on human factors in computing systems (CHI ’19), 8:1-13. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/anchoredAudioSampling.pdf|wix:image://v1/a0f093_effb4c1ebb134699972fc3f1d42923a2~mv2.png/filesAll.png#originWidth=901&originHeight=714||anchoredAudioSampling
Tran, J., Yang, K., Davis, K., Hiniker, A.|2019|Modeling the Engagement-Disengagement Cycle of Compulsive Phone Use|Proceedings of the 37th annual ACM conference on human factors in computing systems (CHI ’19), 312:1-14. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/engagementDisengagement.pdf|wix:image://v1/a0f093_d4fe6849b95d47a39e4c5f08bc83e681~mv2.png/participantSketches.png#originWidth=816&originHeight=1150||engagementDisengagement
Beneteau, E., Richards, O., Zhang, M., Kientz, J.A., Yip, J., Hiniker, A.|2019|Communication Breakdowns Between Families and Alexa|Proceedings of the 37th annual ACM conference on human factors in computing systems (CHI ’19), 243:1-13. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/commBreakdowns.pdf|wix:image://v1/a0f093_ee51930634e949ccb4504ca30323facb~mv2.jpg/echo.jpg#originWidth=1100&originHeight=619||commBreakdowns
Yip, J., Sobel, K., Gao, X., Hishikawa, A., Lim, A., Meng, L., Ofiana, R., Park, J., Hiniker, A.|2019|Laughing is Scary, but Farting is Cute: A Conceptual Model of Children’s Perspectives of Creepy Technologies|Proceedings of the 37th annual ACM conference on human factors in computing systems (CHI ’19), 73:1-15. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/creepy.pdf|wix:image://v1/a0f093_1f4e34443c8043799264c54ff1c97fb8~mv2.jpg/creepyKidsTeam.jpg#originWidth=750&originHeight=486||creepy
Davis, K., Dinhopl, A., Hiniker, A.|2019|‘Everything’s the Phone’: Understanding the Phone’s Supercharged Role in Parent-Teen Relationships|Proceedings of the 37th annual ACM conference on human factors in computing systems (CHI ’19), 227:1-14. Acceptance rate: 23%|http://faculty.washington.edu/alexisr/everythingsThePhone.pdf|wix:image://v1/11062b_f93c414825fc4ba6bddfcbfd1eae6f9a~mv2.jpg/Playing%20on%20Phones.jpg#originWidth=4349&originHeight=2997||everythingsThePhone
Chen, Y., Li, Z., Rosner, D., Hiniker, A.|2019|Understanding Parents’ Perspectives on Mealtime Technology|Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT, formerly the UbiComp conference), 3(1):5, pp. 1-19|http://faculty.washington.edu/alexisr/mealsSurvey.pdf|wix:image://v1/a0f093_42397a8ba08a422baeaef997b52cb270~mv2.png/mealStoryboard.png#originWidth=923&originHeight=698||mealsSurvey
Chen, Y., Yip, J., Rosner, D., Hiniker, A.|2019|Lights, Music, Stamps! Evaluating Mealtime Tangibles for Preschoolers|Proceedings of the 13th annual ACM conference on tangible, embedded, and embodied interactions (TEI ’19), pp. 127-134. Acceptance rate: 34%|http://faculty.washington.edu/alexisr/mealtimePrototypes.pdf|wix:image://v1/a0f093_f7eed523b18f426ebda445874feefc15~mv2.png/catPlate.png#originWidth=322&originHeight=361||mealtimePrototypes
Yen, K., Chen, Y., Cheng, Y., Chen, S., Chen, Y., Ni, Y., Hiniker, A.|2018|Joint Media Engagement between Parents and Preschoolers in the U.S., China, and Taiwan|Proceedings of the ACM on Human-Computer Interaction, CSCW (formerly the CSCW conference). 2:192, pp. 1-19.|http://faculty.washington.edu/alexisr/jme.pdf|wix:image://v1/a0f093_5b307a0cb93b43efb75cbce53d023e49~mv2.png/jme.png#originWidth=415&originHeight=431||jme
Cheng, Y., Yen, K., Chen, Y., Chen, S., Ni, Y., Hiniker, A.|2018|Why Doesn’t It Work? Voice-Driven Interfaces and Young Children’s Communication Repair Strategies|Proceedings of the 17th annual ACM conference on interaction design and children (IDC ’18), pp. 337-348. Acceptance rate: 29%|http://faculty.washington.edu/alexisr/quack.pdf|wix:image://v1/a0f093_68eee1bfb31a4c8f9b8fad0bd06d3833~mv2.png/quackPicture.png#originWidth=497&originHeight=325||quack
Chen, Y., Baljon, K.L., Tran, B., Rosner, D., Hiniker, A.|2018|The Stamp Plate and the Kicking Chair: Playful Productivity for Meals in Preschools|Proceedings of the 17th annual ACM conference on interaction design and children (IDC ’18), pp. 373-380. Acceptance rate: 29%|http://faculty.washington.edu/alexisr/stampPlate.pdf|wix:image://v1/a0f093_6bd4c23fe9a34c349dd17225729a0def~mv2.png/stampplateLoFi.png#originWidth=575&originHeight=386||stampPlate
Hiniker, A., Heung, S., Hong, S., and Kientz, J.A.|2018|Coco’s Videos: An Empirical Investigation of Video-Player Design Features and Children’s Media Use|Proceedings of the 36th annual ACM conference on human factors in computing systems (CHI ’18), 254:1-13. Acceptance rate: 25.7%|http://faculty.washington.edu/alexisr/CocosVideos.pdf|wix:image://v1/a0f093_22ebfd28efbe4397a4aa3eb622505103~mv2.png/Screenshot_2017-09-04-17-52-14.png#originWidth=1280&originHeight=800||CocosVideos
Hiniker, A., Lee, B., Kientz, J.A., and Radesky, J.|2018|Let’s Play! Digital and Analog Play Between Preschoolers and Parents|Proceedings of the 36th annual ACM conference on human factors in computing systems (CHI ’18), 659:1-13. Acceptance rate: 25.7%|http://faculty.washington.edu/alexisr/TabletsAndToys.pdf|wix:image://v1/a0f093_aa30f1b66abe40119b21c1de3ff951cc~mv2.png/tictactoePic2.png#originWidth=304&originHeight=257||TabletsAndToys
Lukoff, K., Yu, C., Kientz, J.A., Hiniker, A.|2018|Mindless Scrolling and Micro Escapes. Why is Smartphone Use Sometimes so Meaningless|Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT, formerly the UbiComp conference), 2(1):22, pp. 1-26|http://faculty.washington.edu/alexisr/meaninglessPhoneUse.pdf|wix:image://v1/a0f093_cfa07313e26841e688f9914135cdd330~mv2.png/uandg.png#originWidth=652&originHeight=664||meaninglessPhoneUse
Boyd, L., Ringland, K., Faucett, H., Hiniker, A., Klein, K., Patel, K., and Hayes, G. "Evaluating an iPad Game to Address Overselectivity in Preliterate AAC Users with Minimal Verbal Behavior." Proceedings of the 19th International Conference on Computers and Accessibility (ASSETS ’17). Pp.|240-|9|Acceptance rate: 22%|http://faculty.washington.edu/alexisr/GoGoGamesEvaluation.pdf|wix:image://v1/a0f093_0f62ac3982634e5a8170e45c30e9c539~mv2.png/wheelsAndRoads.png#originWidth=850&originHeight=638||GoGoGamesEvaluation
